text,publication_time,reactions
"В Краматорске снесли памятник Пушкину

Постамент «оккупанта» Пушкина, виновного в военных преступлениях на Украине, займет местный герой, которого власти пока не назначили. «Это не борьба с памятниками, это борьба Украины за жизнь» — отчитался в Facebook городской глава Александр Гончаренко. 

Вместо денацификации Путин устроил дерусификацию Украины и дегуманизацию России. Пострадают не только народы обеих стран, но и память об общем прошлом. Пока с одной стороны границы ломают памятники писателям, с другой — возводят памятники палачам.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 19:12:47+00:00,
"Удивительный уменьшающийся залог Сэма Бэнкмана-Фрида

Основатель FTX заключил ещё одну удивительную сделку. В прошлый четверг Сэм Бэнкман-Фрид вышел из федерального суда, по сути, свободным человеком. Новостные издания по всему миру писали, что Бэнкман-Фрид вышел из тюрьмы под огромный, беспрецедентный залог «в 250 миллионов долларов». В суде помощник федерального прокурора США Николас Рунс описал его как «самый крупный» досудебный залог в истории.

Но, как оказалось, этот «залог в 250 миллионов долларов» — намного меньше, чем кажется. Непростительно меньше.

Как Сэм Бэнкман-Фрид бесплатно вышел из тюрьмы — читайте в переводе статьи Джеймса Мёрфи

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 19:05:46+00:00,
"Бывший главный раввин Москвы Пинхас Гольдшмидт призвал российских евреев уезжать из страны.

По его словам, после того, как русские почувствуют «тяготы войны», произойдет всплеск антисемитизма.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 17:57:08+00:00,
"В третьем квартале 2022 года россияне вывели за границу рекордные за четыре года 1,47 триллиона рублей

Вывод сделан на основании отчёта Банка России по операциям сектора «Домашние хозяйства». Отмечается, что за год показатель вырос более, чем на 2400%.

Глава регулятора Эльвира Набиуллина заявила, что не видит необходимости принимать какие-либо меры в связи с оттоком средств за границу. Она отметила, что для возврата финансов нужны «уверенность в макроэкономической стабильности, в ценовой стабильности». В правительстве уже работают над этим.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 17:09:07+00:00,
"RT выпустил обращение от фейкового Владимира Зеленского

После неудачного дебюта на канале Рамзана Кадырова, пародист «Шоу ВиЛ» Макс Камикадзе нашёл работу у главного работадателя всех обиженных и обездоленных — Russia Today.

На канале Симоньян он снова предстал в образе украинского президента и традиционно наговорил кринжа:

«Год Тигра подходит к концу, история Украины как отдельного государства — тоже».

Когда настоящий президент показывает пример мужества, издеваться остаётся лишь над соломенным чучелом.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 16:37:09+00:00,
"В УГМУ заявили, что в российских школах будут преподавать тюркские и африканские языки вместо европейских

Решение якобы связано с «откровенно недружественной европейской и американской политикой». Ученики, как заявляют авторы, должны будут выбрать между двумя тюркскими и тремя африканскими языками.

Там также указывается, что «уроки будут проходить по видеосвязи, а контрольные задания учащиеся будут выполнять в тестовом режиме на специально разработанных интернет-ресурсах». В комментарии для СМИ представители Университета государственного и муниципального управления заявили, что не знают, кто опубликовал запись. С сайта её удалили.

Все смеялись, когда Владимир Владимирович говорил про половцев, терзавших Русь. А теперь не смешно.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 16:21:06+00:00,
"Иван Сафронов, осуждённый на 22 года за журналистику, поздравил коллег с праздником

«Моя дорогая редакция «Ъ» =)

Совсем скоро наступит Новый год — хочется пожелать вам удачи, крутых заметок и интересных сюжетов. Я не знаю как вас отблагодарить за ту поддержку, которую вы мне оказывали эти годы. Пока просто напишу «Спасибо», но знайте, что в это слово я вкладываю все, что у меня есть. Вы огромные молодцы. Я горжусь тем, что могу называть вас не только коллегами, но и друзьями. 

Пусть все плохое уйдет в 2022-м, а все хорошее наступит в 2023-м! С наступающим! =)

Ваш Ваня Сафронов»

5 сентября Мосгорсуд приговорил бывшего журналиста к 22 годам колонии строгого режима по двум эпизодам о госизмене (ст. 275 УК РФ). 

По версии следствия, Сафронов передавал двум иностранным разведкам секретную информацию о состоянии ВС РФ. Расследование «Проекта» позже показало, что большую часть материалов, которые Сафронов якобы добыл незаконно, можно найти в интернете.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 15:54:05+00:00,
"В Минобороны РФ предложили легализовать полевые тюрьмы для военных

Соответствующее решение смогут принять командующие войск. По одному из пунктов, условия в таких тюрьмах должны быть «не хуже», чем те, в которых содержатся регулярные войска.

Оговаривается, что оборудовать гаупвахты в «подземельях, подвальных помещениях без окон и вентиляции, ёмкостях, ямах» и подобных помещениях всё же разрешат: для этого необходимо определить, что такие условия нужны для «сохранения жизни военнослужащих при ведении боевых действий». Формировать тюрьмы будут с использованием палаток, землянок, навесов, кузовов, а также «объектов инфраструктуры».

ДНРовская практика сажания на подвал была успешно обкатана и признана эффективной, так что переходит на новый уровень.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 15:21:08+00:00,
"На Сахалине сбежавшего из части военного, который не хотел ехать на войну, приговорили к 3 годам колонии-поселения

По версии следствия, военный находился в разных населённых пунктах, где «праздно проводил время по своему усмотрению». Мужчину обнаружили в больнице: в последний день лета его госпитализировали из-за «острой алкогольной интоксикации».

Санникова обвинили по статье «Самовольное оставление части или места службы, а равно неявка в срок без уважительных причин на службу продолжительностью свыше месяца» (часть 4 статьи 337 УК РФ) и приговорили к 3 годам лишения свободы.

Несколько дней назад на Камчатке приговорили к году и восьми месяцев тюрьмы военнослужащего, который отказался отправляться в Украину.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 14:48:07+00:00,
"Под Волгоградом в поле обнаружили обломки ракет

Заметили их у посёлка Ильменский. Вскоре информацию подтвердил глава поселения Владимир Плющенко. По его словам, жертв и разрушения в населённом пункте нет, а место обнаружения обломков огородили. Когда именно они упали на поле, пока неясно.

В середине декабря обломки ракет нашли в Еланском районе Волгоградской области.

Так и не взяв город-герой Киев, Владимир Путин привёл войну к городу-герою Волгограду.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 14:25:08+00:00,
"Лия Ахеджакова перенесла свой спектакль «Мой друг Вениамин» после угроз чиновников

Несколько дней назад депутаты Мосгордумы Кирилл Щитов и Андрей Медведев пригрозили 84-летней народной артистке визитом наёмников из «Вагнера» за слова о том, что только россияне могут писать оскорбления и угрозы.

Сегодня на сайте Выборгского дворца культуры, где должен был пройти спектакль, появилось объявление о переносе постановке и возврате денег за билеты.

«Победа» тянет на ещё одну медаль.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 13:58:07+00:00,
"Российский СК обвинил ВСУ в убийстве трёх тысяч мирных жителей Мариуполя

По данным Следкома, на данный момент «завершено производство судебных экспертиз по более чем 68 тысячам объектов». Руководитель по расследованию военных преступлений, геноцида и реабилитации нацизма СК РФ Максим Денисов обвинил украинских военных в «препятствиях эвакуации мирного населения из города».

Бои в Мариуполе начались на второй день войны, а в начале марта город оказался на осадном положении. Главным очагом сопротивления в нём стала территория завода «Азовсталь», но в середине мая последние защитники Мариуполя, отрезанные от основных сил, всё-таки сдались. В процессе осады и штурма пострадало 90% жилого фонда города. Дома подвергались постоянным бомбёжкам и обстрелам со стороны российских сил, а в марте российская армия разбомбила Драмтеатр, в котором укрывались сотни людей. Тогда, по разным данным, погибли от 300 до 600 человек.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 13:29:08+00:00,
"Легендарной собачке Доге стало лучше

Несколько дней назад пользователи интернета были шокированы тем, что 17-летняя сиба-ину по кличке Кабосу чувствует себя очень скверно, почти не видит, и, вероятно, может умереть. Но теперь хозяйка животного, ставшего прообразом знаменитого Доге из мемов, рассказала, что питомец резко пошёл на поправку. Кабосу встала на ноги и с удовольствием погуляла в парке. Она также ест и пьет с большим аппетитом.

Молитвы фанатов Доге были услышаны.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 12:54:08+00:00,
"Пресс-секретарь президента Дмитрий Песков вспомнил, что безумно можно быть первым, и переиначил афоризм, ошибочно приписываемый Уинстону Черчиллю.

Новогодний ауф.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 12:32:08+00:00,
"В России планируют разработать мобильную ОС на базе Android и аналог сервисов Google — «Ъ»

VK, «Яндекс», Сбербанк и «Ростелеком» сформируют компанию, которая займётся импортозамещением Google Mobile services, а также разработает новую отечественную ОС. По данным источников, в отличие от «Авроры», которую должен представить «Ростелеком», новая система будет использоваться на потребительских устройствах.

Ранее выяснилось, что в России рассчитывают создать аналог пакета программ Adobe. Потратить на это планируют до 2 миллиардов долларов.

Также в России с переменным успехом пытаются создать свой магазин приложений на Android. Один из них — NashStore — рухнул, едва запустившись, а второй — RuStore, как оказалось, сливает данные российских пользователей за рубеж.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 12:07:08+00:00,
"Заявления пресс-секретаря президента Дмитрия Пескова:

— Инцидент с украинской ракетой в Беларуси вызывает крайнюю обеспокоенность в Кремле;

— Военные России и Беларуси находятся в постоянном контакте;

— У Путина и Си Цзиньпина состоялся очень конструктивный, объемный по содержанию партнерский разговор;

— Путин не будет поздравлять с Новым годом Байдена, Шольца, Макрона и лидеров других недружественных стран;

— Здоровье Путина — вопрос государственной безопасности, поэтому его общение с прессой в обозримой перспективе не будет таким, как до пандемии;

— Выборы президента РФ в 2024 году запланированы, и с точки зрения начала электоральных процессов — они так или иначе последуют.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 11:45:07+00:00,
"В Омске задержан подозреваемый в поджогах z-мобилей — Baza

Осенью в городе начали гореть автомобили с символикой «СВО». Подобные инциденты произошли 7 и 12 октября, а также 7 ноября. 29 декабря полиция задержала предполагаемого поджигателя, когда он совершал очередную подобную диверсию. На этот раз 45-летний Антон Смольянинов попытался поджечь трансформаторную будку. По данным Baza, на допросе мужчина сознался, что прежде поджигал машины с буквами Z и V, так как выступает против войны.

В отношении инженера возбудили дело по двум статьям — умышленное уничтожение или повреждение имущества и теракт.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 11:38:09+00:00,
"Минфин удвоил доли юаня и золота в структуре ФНБ РФ

В министерстве заявили, что «исключили возможность инвестирования средств Фонда в активы, номинированные в долларах США». Меры принимают в рамках «последовательного сокращения доли валют „недружественных“ государств в структуре активов».

Доля юаня увеличится в два раза: с 30% до 60%. Таким же образом вырастут вложения в золото, до 40%. Ранее доли юаня и золота в структуре составляли 30% и 20% соответственно.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 10:50:07+00:00,
"Twitter и сфальсифицированная дискуссия о коронавирусе

Во время пандемии китайского коронавируса СМИ и социальные сети стали рупором правительственной пропаганды.⠀

До покупки Илоном Маском Twitter был главной площадкой для государственной борьбы с «фейками» о ковиде. Благодаря обнародованию «Файлов Twitter» мы узнали, что соцсеть удаляла и помечала как вводящую в заблуждение любую информацию, идущую вразрез с линией администрации президента. Топ-менеджеры соцсети дискредитировали врачей и ученых, даже если они подтверждали свои выводы официальными данными. 

Как твиттер под руководством государства и спецслужб удалял  правдивую информацию от врачей и экспертов в области общественного здравоохранения, когда она не совпадала с политикой правительства США – в переводе статьи Дэвида Цвейга.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 10:23:32+00:00,
"Аркадий Волож сообщил, что покидает «Яндекс»

Он написал сотрудникам компании письмо о том, что покидает ее, и попрощался с ними. 

«Яндекс – это проект моей жизни. И не только моей. Все эти 30 лет мы делали его вместе – с нуля, в условиях глобальной конкуренции, стремясь вести себя открыто и честно. Спасибо всем, кто строил и строит лучшую технологическую компанию страны.

Люблю вас всех и обнимаю. Мне вас очень не хватает. Пусть новый год принесет всем мир», — написал он. 

Волож оставил руководящие должности в «Яндексе» вскоре после того, как попал в санкционный список ЕС 3 июля. Тогда он вышел из совета директоров и покинул пост гендиректора группы. 

На его прощальное письмо акции компании все равно отреагировали падением.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 09:48:45+00:00,
"Джеймс Кэмерон вырезал 10 минут перестрелок из нового «Аватара», чтобы не «фетишизировать» оружие

«Насилие и „экшн“ — одно и то же, в зависимости от того, как вы на это смотрите. Это дилемма каждого режиссёра боевиков, а я известен как такой режиссёр», — пояснил свою позицию Кэмерон, подчеркнув, что был рад, когда в Новой Зеландии, где он сейчас живёт, после стрельбы в мечети запретили покупку штурмовых винтовок.

К своим 68 годам великий режиссёр, подаривший миру «Терминатора», «Чужих» и «Титаник», доснимался до самоцензуры.

Уходить на пенсию в Голливуде не принято. Но до того, чтобы не только не уйти, но ещё и выбить лестницу из-под следующего поколения кинематографистов, додумался лишь Кэмерон.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 09:44:07+00:00,
"❗️Аркадий Волож сообщил, что покидает «Яндекс».",2022-12-30 09:35:31+00:00,
"Владимир Путин по видеосвязи провёл переговоры с Си Цзиньпином:

— В условиях усиливающейся геополитической напряжённости возрастает значимость российско-китайского стратегического партнёрства как стабилизирующего фактора;

— Несмотря на неблагоприятную внешнюю конъюнктуру, нелегитимные ограничения и прямой шантаж со стороны некоторых стран Запада, России и Китаю удалось обеспечить рекордно высокие темпы роста взаимного товарооборота;

— По итогам 2022 года товарооборот увеличится примерно на 25 процентов;

— По итогам этого года Россия стала одним из лидеров по экспорту нефти в Китай;

— В январе-ноябре товарооборот увеличился на 36 процентов, достигнув 6 миллиардов долларов;

— Мы с вами одинаково смотрим на причины, ход и логику происходящей трансформации глобального геополитического ландшафта;

— Вместе с Китаем мы отстаиваем принципиальные позиции и защищаем не только свои интересы, но и всех тех, кто выступает за подлинно демократичное мироустройство и право стран свободно определять свою судьбу.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 09:23:22+00:00,
"Парламенты ДНР и ЛНР приняли новые конституции республик

Поправки предусматривают отмену прямых выборов глав регионов. Теперь глав Луганской и Донецкой народных республик формально будут выбирать депутаты местных парламентов, а не жители.

По словам источника «Коммерсанта», внутриполитический блок администрации президента первоначально рассматривал возможность сохранения прямых выборов в республиках Донбасса, однако со временем от этого отказались, поскольку «в условиях военного положения, наверное, так правильнее».

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 09:02:09+00:00,
"ФСБ отчиталась о задержании украинца, который готовил теракт на Северном Кавказе по «заданию украинских спецслужб»

Сообщается, что «во время допроса задержанный дал признательные показания о своих противоправных намерениях». В опубликованном видео некий человек говорит, что «хотел провести теракт», но не сообщает подробностей. Его лицо «заблюрено», никаких других данных о нём пока нет.

В ФСБ также заявили, что изъяли дома у задержанного «готовые к применению средства террора». Против украинца возбудили уголовное дело по части 1 статьи 30 и части 2 статьи 205 «Приготовление к терроризму».

Двумя днями ранее ФСБ сообщила об уничтожении в Кабардино-Балкарии двоих боевиков, которые якобы планировали теракт по заказу украинских спецслужб, а после должны были перебраться в Украину.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 08:54:06+00:00,
